№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
785,Автобус,Остановка,"УЛ. ПОГРАНИЧНИКА ГАРЬКАВОГО, 40","УЛ. ПОГРАНИЧНИКА ГАРЬКАВОГО, 40","Пограничника Гарькавого ул., 2-я Комсомольская ул","130, 163, 203, 229, 333","59.829838613568008,30.146368"
786,Автобус,Остановка,УЛ. ПОДВОДНИКА КУЗЬМИНА,УЛ. ПОДВОДНИКА КУЗЬМИНА,"Зины Портновой ул., Подводника Кузьмина ул","114, 130, 145, 145Б, 203, 246","59.848362888736155,30.2564449"
787,Автобус,Остановка,УЛ. ПОДВОЙСКОГО,"УЛ. ПОДВОЙСКОГО [12, 118]","Искровский пр., Подвойского ул","118, 12, 255Б","59.910216422454745,30.4626617"
788,Автобус,Остановка,УЛ. ПОМЯЛОВСКОГО,"УЛ. ПОМЯЛОВСКОГО [132, 174]","Новочеркасский пр., Весенняя ул","132, 174, 183, 206, 5","59.935677042433518,30.4074841"
789,Автобус,Остановка,УЛ. ПРОФЕССОРА КАЧАЛОВА,"УЛ. ПРОФЕССОРА КАЧАЛОВА [58, 8]","Профессора Качалова ул., Глазурная ул","253, 58, 8","59.915920915830718,30.3989182"
790,Автобус,Остановка,УЛ. ПРОФЕССОРА ПОПОВА,"УЛ. ПРОФЕССОРА ПОПОВА [1, 46А]","Каменноостровский проспект, улица Профессора Попова","1, 227, 46, 76","59.971811376328937,30.3062916"
791,Автобус,Остановка,РАШЕТОВА УЛ,РАШЕТОВА УЛ,"Энгельса пр., Забайкальская ул","208, 85, 86","60.021038448868154,30.3207779"
792,Автобус,Остановка,РЕСПУБЛИКАНСКАЯ УЛ,РЕСПУБЛИКАНСКАЯ УЛ,"Новочеркасский пр., Республиканская ул","132, 174, 183, 206, 295, 5","59.933114065096802,30.4075375"
793,Автобус,Остановка,"УЛ. РИХАРДА ЗОРГЕ, УГОЛ УЛ. ДОБЛЕСТИ","УЛ. РИХАРДА ЗОРГЕ, УГОЛ УЛ. ДОБЛЕСТИ","Доблести ул., Рихарда Зорге ул","142, 160, 2, 2А","59.851042187051803,30.1760426"
794,Автобус,Остановка,УЛ. РОЗЕНШТЕЙНА,"УЛ. РОЗЕНШТЕЙНА [65, 70, 71]","Обводного канала наб., Розенштейна ул","263, 65, 67, 71","59.908576113561452,30.2928905"
795,Автобус,Остановка,УЛ. РУДНЕВА ПО ПР. ЛУНАЧАРСКОГО,УЛ. РУДНЕВА ПО ПР. ЛУНАЧАРСКОГО [178],"Луначарского пр., Руднева ул","178, 272, 275, 283","60.037928099411701,30.3582039"
796,Автобус,Остановка,УЛ. РУДНЕВА ПО ПРИДОРОЖНОЙ АЛЛЕЕ,УЛ. РУДНЕВА ПО ПРИДОРОЖНОЙ АЛЛЕЕ [178],"Придорожная аллея, Руднева ул","178, 208, 251","60.053077079336163,30.3722706"
797,Автобус,Остановка,УЛ. РУСТАВЕЛИ УГ. ПР. НАУКИ,УЛ. РУСТАВЕЛИ УГ. ПР. НАУКИ,"улица Руставели, проспект Науки","102, 132, 133, 136, 153, 176, 183, 206, 237, 249, 293","60.00209812896572,30.4363174"
798,Автобус,Остановка,ГОРОХОВ ПЕР,ГОРОХОВ ПЕР,"улица Савушкина, Горохов переулок","112, 211, 216А, 93","59.984428245566349,30.2491875"
799,Автобус,Остановка,"УЛ. САВУШКИНА,115","УЛ. САВУШКИНА,115 [93]","улица Савушкина, Приморский путепровод","101, 112, 134, 134А, 170, 211, 216А, 93","59.984998829954343,30.2338161"
800,Автобус,Остановка,"СТ. МЕТРО ""БУХАРЕСТСКАЯ""","СТ. МЕТРО ""БУХАРЕСТСКАЯ""","ул. Бухарестская, ул. Салова","117, 54, 57, 74, 91","59.884561485003658,30.3668613"
801,Автобус,Остановка,УЛ. САЛОВА ПО ВОЛКОВСКОМУ ПР,УЛ. САЛОВА ПО ВОЛКОВСКОМУ ПР. [74],"Волковский пр., Салова ул","117, 36, 74, 91","59.900445286205866,30.3631344"
802,Автобус,Остановка,УЛ. САЛОВА УГ. СОФИЙСКОЙ УЛ,УЛ. САЛОВА УГ. СОФИЙСКОЙ УЛ,"Салова ул., Софийская ул","117, 36","59.88904027961226,30.3794327"
803,Автобус,Остановка,"УЛ. САЛОВА,29","УЛ. САЛОВА,29",улица Салова,"141, 36","59.896492176699475,30.3761673"
804,Автобус,Остановка,"УЛ. САЛОВА,37","УЛ. САЛОВА,37",Салова ул,"141, 36","59.893946728096047,30.3833561"
805,Автобус,Остановка,"УЛ. САЛОВА,57","УЛ. САЛОВА,57",Салова ул,"117, 36","59.886812951472962,30.3739033"
806,Автобус,Остановка,"УЛ. САЛОВА, ПО ТРЕБОВАНИЮ","УЛ. САЛОВА, ПО ТРЕБОВАНИЮ","Белградская ул., Салова ул","12, 159, 95","59.877765037883862,30.353241"
807,Автобус,Остановка,УЛ. САМОЙЛОВОЙ УГОЛ УЛ. МГИНСКОЙ,УЛ. САМОЙЛОВОЙ УГОЛ УЛ. МГИНСКОЙ [15],"Мгинская ул., Самойловой ул",141,"59.900695337103151,30.3707333"
808,Автобус,Остановка,УЛ. СВОБОДЫ,УЛ. СВОБОДЫ,"Таллинское ш., Свободы ул","144, 145, 147, 149, 165, 245, 446, 477, 481, 482, 482В, 484, 547","59.728149482530036,30.0831375"
809,Автобус,Остановка,УЛ. СЕВАСТЬЯНОВА,УЛ. СЕВАСТЬЯНОВА,"Благодатная ул., Мариинская ул","12, 225, 36, 95","59.876081991388602,30.326767"
810,Автобус,Остановка,"ИВАНОВСКАЯ УЛ., УГ. УЛ. СЕДОВА","ИВАНОВСКАЯ УЛ., УГ. УЛ. СЕДОВА","ул. Ивановская, ул. Седова","11, 114, 116, 12, 140, 239, 288, 31, 56, 95","59.873171593850735,30.4363308"
811,Автобус,Остановка,"УЛ. СЕДОВА,70","УЛ. СЕДОВА,70 [8]","Седова ул., Фарфоровская ул","114, 116, 31, 8, 95","59.879146374903371,30.429657"
812,Автобус,Остановка,"УЛ. СЕДОВА, 93","УЛ. СЕДОВА, 93","Седова ул., Красных Зорь бул","118, 157, 253, 5, 95","59.868714661002478,30.4417648"
813,Автобус,Остановка,"ПР. ХУДОЖНИКОВ, УГОЛ УЛ. СИКЕЙРОСА","ПР. ХУДОЖНИКОВ, УГОЛ УЛ. СИКЕЙРОСА","Художников пр., Сикейроса ул",208,"60.035741461566758,30.3439388"
814,Автобус,Остановка,УЛ. СМОЛЯЧКОВА,УЛ. СМОЛЯЧКОВА [86],"Большой Сампсониевский пр., Ловизский пер",86,"59.971298671657216,30.3407383"
815,Автобус,Остановка,УЛ. СОЛДАТА КОРЗУНА,УЛ. СОЛДАТА КОРЗУНА,"Ветеранов пр., Солдата Корзуна ул","103, 130, 145, 145Б, 145Э, 195, 242, 246, 265, 284, 297, 329, 343Э, 345, 68, 68А, 81","59.833641769333397,30.2174053"
816,Автобус,Остановка,УЛ. СОЛДАТА КОРЗУНА,УЛ. СОЛДАТА КОРЗУНА,"Маршала Жукова пр., Солдата Корзуна ул","108, 20, 229, 245, 52","59.84131540741248,30.2057018"
817,Автобус,Остановка,УЛ. СОФЬИ КОВАЛЕВСКОЙ,УЛ. СОФЬИ КОВАЛЕВСКОЙ,"Науки пр., Софьи Ковалевской ул","102, 153, 177, 202, 206, 283, 293, 78","60.010128947742402,30.4090672"
818,Автобус,Остановка,УЛ. СТАСОВОЙ,"УЛ. СТАСОВОЙ [102, 103, 106, 123, 136]","Энергетиков пр., Стасовой ул","102, 106, 123, 136, 137, 183, 185, 22, 264, 271","59.967842835128849,30.4371338"
819,Автобус,Остановка,УЛ. СТЕПАНА РАЗИНА,"УЛ. СТЕПАНА РАЗИНА [22, 70, 71, 66]","Рижский пр., Степана Разина ул","22, 290, 43, 66, 70","59.91287704344802,30.2684422"
820,Автобус,Остановка,УЛ. СТОЙКОСТИ,УЛ. СТОЙКОСТИ,"проспект Маршала Жукова, улица Стойкости","108, 145, 145Б, 165, 195, 20, 245, 345, 481, 484, 81","59.829536539259017,30.190424"
821,Автобус,Остановка,УЛ. ТАМБАСОВА,УЛ. ТАМБАСОВА,"Народного ополчения пр., ул. Тамбасова","130, 163, 165, 203, 229, 265, 333, 87","59.824702977715432,30.1568317"
822,Автобус,Остановка,УЛ. ТАМБАСОВА,УЛ. ТАМБАСОВА,"Ветеранов пр., ул. Тамбасова","130, 242, 284, 297, 329, 68, 68А","59.834314484532889,30.1571407"
823,Автобус,Остановка,НОВОБЕЛИЦКАЯ УЛ,НОВОБЕЛИЦКАЯ УЛ,"ул. Тамбасова, Новобелицкая ул","165, 265, 87","59.841195305950258,30.1579399"
824,Автобус,Остановка,"УЛ. ТАМБАСОВА,32","УЛ. ТАМБАСОВА,32",ул. Тамбасова,"165, 265, 297, 87","59.829656682778207,30.1563301"
825,Автобус,Остановка,"УЛ. ТАНКИСТОВ, 12","УЛ. ТАНКИСТОВ, 12","ул. Танкистов, ул. Павловская","324, 325, 326, 335А, 336, 337, 337А, 364, 366, 386, 392, 396А","59.747253349634661,30.561388"
826,Автобус,Остановка,"УЛ. ТАНКИСТОВ, 28","УЛ. ТАНКИСТОВ, 28","ул. Танкистов, ул. Пролетарская","324, 325, 326, 335А, 336, 337, 337А, 364, 369, 386, 392, 396А","59.744452132253663,30.5601101"
827,Автобус,Остановка,"УЛ. ТЕЛЬМАНА, УГ. ИСКРОВСКОГО ПР","УЛ. ТЕЛЬМАНА, УГ. ИСКРОВСКОГО ПР. [12]","Искровский проспект, улица Тельмана","118, 12, 255Б, 285","59.893446522803451,30.4784184"
828,Автобус,Остановка,УЛ. ТИПАНОВА,УЛ. ТИПАНОВА,"Витебский пр., Типанова ул",72,"59.855549508248501,30.3610992"
829,Автобус,Остановка,"УЛ. ТИПАНОВА, УГОЛ ПР. ЮРИЯ ГАГАРИНА","УЛ. ТИПАНОВА, УГОЛ ПР. ЮРИЯ ГАГАРИНА","Типанова ул., пр. Юрия Гагарина","11, 114, 141, 225, 239, 246, 31, 59","59.852184511139711,30.3389111"
830,Автобус,Остановка,ТОСИНА УЛ,ТОСИНА УЛ,"Лиговский пр., Тосина ул","26, 3","59.904949339232125,30.3431129"
831,Автобус,Остановка,УЛ. ТРЕФОЛЕВА,"УЛ. ТРЕФОЛЕВА [2, 66]","Стачек пр., Трефолева ул","2, 66, 73","59.889917463255124,30.2707024"
832,Автобус,Остановка,УЛ. ТУРКУ,"УЛ. ТУРКУ [74, 116]","Пражская ул., Турку ул","116, 57","59.868248362740928,30.3961449"
833,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ, УГОЛ УЛ. МАРШАЛА ТУХАЧЕВСКОГО","ШОССЕ РЕВОЛЮЦИИ, УГОЛ УЛ. МАРШАЛА ТУХАЧЕВСКОГО","Революции ш., Маршала Тухачевского ул","106, 174, 183, 22, 234, 288, 37","59.959859875998568,30.432745"
834,Автобус,Остановка,"УЛ. ДМИТРИЯ УСТИНОВА, УГОЛ ШЛИССЕЛЬБУРГСКОГО ПР","УЛ. ДМИТРИЯ УСТИНОВА, УГОЛ ШЛИССЕЛЬБУРГСКОГО ПР","Дмитрия Устинова ул., Шлиссельбургский пр","115А, 189, 327, 53, 97","59.83800044800622,30.5003567"
835,Автобус,Остановка,УЛ. УТОЧКИНА,УЛ. УТОЧКИНА,"Испытателей пр., Маршала Новикова ул","127, 135, 170, 171, 182, 221, 279, 294, 76","60.007240535966851,30.2636013"
836,Автобус,Остановка,УЛ. УШИНСКОГО,УЛ. УШИНСКОГО,"Луначарского пр., Ушинского ул","153, 178, 272","60.028041024425384,30.4027405"
837,Автобус,Остановка,"УЛ. УШИНСКОГО,УГ. УЧИТЕЛЬСКОЙ УЛ","УЛ. УШИНСКОГО,УГ. УЧИТЕЛЬСКОЙ УЛ","Учительская улица, улица Ушинского","102, 199","60.031722582720768,30.4060802"
838,Автобус,Остановка,УЛ. ФАВОРСКОГО,УЛ. ФАВОРСКОГО,"Бутлерова ул., Фаворского ул","178, 250, 61","59.999762269703439,30.3944111"
839,Автобус,Остановка,"БЕЛГРАДСКАЯ УЛ., УГОЛ УЛ. ФУЧИКА, ПО ТРЕБОВАНИЮ","БЕЛГРАДСКАЯ УЛ., УГОЛ УЛ. ФУЧИКА, ПО ТРЕБОВАНИЮ","Белградская ул., Фучика ул","12, 159, 95","59.875057039457538,30.3552284"
840,Автобус,Остановка,УНИВЕРСИТЕТ ПРОФСОЮЗОВ,УНИВЕРСИТЕТ ПРОФСОЮЗОВ,"Бухарестская ул., Фучика ул","54, 91","59.878008404154556,30.3727245"
841,Автобус,Остановка,ИНСТИТУТ СКОРОЙ ПОМОЩИ,ИНСТИТУТ СКОРОЙ ПОМОЩИ,"Фучика ул., Будапештская ул","59, 74","59.875845466824501,30.3656254"
842,Автобус,Остановка,УЛ. ХОШИМИНА,"УЛ. ХОШИМИНА [86, 123]","Композиторов ул., Хошимина ул","123, 198, 80, 86","60.050799378668216,30.3164501"
843,Автобус,Остановка,"УЛ. ХОШИМИНА, УГОЛ УЛ. КОМПОЗИТОРОВ","УЛ. ХОШИМИНА, УГОЛ УЛ. КОМПОЗИТОРОВ","улица Хошимина, улица Композиторов","148, 167, 173, 180, 180А, 283, 397, 433, 435, 436, 75","60.051225607063387,30.3170624"
844,Автобус,Остановка,УЛ. ЧАЙКОВСКОГО,УЛ. ЧАЙКОВСКОГО [136],"ул. Потемкинская, ул. Чайковского","136, 19, 46","59.946833438114979,30.3678303"
845,Автобус,Остановка,УЛ. ЧАПАЕВА,УЛ. ЧАПАЕВА [49],"Куйбышева ул., Чапаева ул",28,"59.957172245843104,30.3324986"
846,Автобус,Остановка,УЛ. ЧАПЫГИНА,"УЛ. ЧАПЫГИНА [46А, 1]","Каменноостровский проспект, улица Чапыгина","1, 227, 46, 76","59.973168296390185,30.3049889"
847,Автобус,Остановка,УЛ. ЧЕКИСТОВ,УЛ. ЧЕКИСТОВ,"ул. Чекистов, ул. Партизана Германа","103, 111, 2, 260, 2А, 87","59.842849236557001,30.1755943"
848,Автобус,Остановка,УЛ. ЧЕРВОННОГО КАЗАЧЕСТВА,УЛ. ЧЕРВОННОГО КАЗАЧЕСТВА,"Краснопутиловская ул., Червонного Казачества ул","244, 72","59.866684844384785,30.2772274"
849,Автобус,Остановка,"УЛ. ЧЕРКАСОВА, ШКОЛА","УЛ. ЧЕРКАСОВА, ШКОЛА",Черкасова ул,"121, 93","60.027600847739933,30.4240475"
850,Автобус,Остановка,УЛ. ШАВРОВА,УЛ. ШАВРОВА,"Комендантский пр., Шаврова ул","127, 154, 170, 171, 202, 76, 79, 85","60.02544765093301,30.2389355"
851,Автобус,Остановка,СОЛУНСКАЯ УЛ,СОЛУНСКАЯ УЛ,"Солунская улица, 3-я линия 1-й половины","112, 208, 279, 85","60.015597802264963,30.2985649"
852,Автобус,Остановка,УЛ. ШАХМАТОВА,УЛ. ШАХМАТОВА,Шахматова,"329, 360","59.865584165666711,29.8638687"
853,Автобус,Остановка,"МУЗЕЙ ""НЕВСКАЯ ЗАСТАВА""","МУЗЕЙ ""НЕВСКАЯ ЗАСТАВА""","улица Шелгунова, Ново-Александровская улица","11, 241, 48","59.866383104310621,30.4597206"
854,Автобус,Остановка,УЛ. ШЕЛГУНОВА,УЛ. ШЕЛГУНОВА,"Шелгунова ул., Обуховской обороны пр","11, 115А, 241, 48","59.867854061314922,30.4626026"
855,Автобус,Остановка,"УЛ. ГЕНЕРАЛА ХАЗОВА, УГОЛ УЛ. ВЯЧЕСЛАВА ШИШКОВА","УЛ. ГЕНЕРАЛА ХАЗОВА, УГОЛ УЛ. ВЯЧЕСЛАВА ШИШКОВА",Генерала Хазова ул,"186, 236, 376, 377, 381, 385","59.737923076818255,30.4067802"
856,Автобус,Остановка,УЛ. ШОСТАКОВИЧА,"УЛ. ШОСТАКОВИЧА [123, 143]","Симонова ул., Шостаковича ул","113, 121, 123, 143, 180, 199, 397, 80","60.05928881131517,30.325016"
857,Автобус,Остановка,УЛ. ШОТМАНА. УНИВЕРСИТЕТ ТЕЛЕКОММУНИКАЦИЙ,УЛ. ШОТМАНА. УНИВЕРСИТЕТ ТЕЛЕКОММУНИКАЦИЙ,"Большевиков пр., Шотмана ул","140, 233, 255Б, 264, 288, 4, 469, 469А, 485, 97","59.902373712206085,30.4864616"
858,Автобус,Остановка,УЛ. ЩЕРБАКОВА,"УЛ. ЩЕРБАКОВА [40, 134, 172]","Репищева ул., Щербакова ул","122, 170, 172, 208, 235","60.0268672069001,30.2841778"
859,Автобус,Остановка,"СТ. МЕТРО ""ДУНАЙСКАЯ""","СТ. МЕТРО ""ДУНАЙСКАЯ""","ул. Бухарестская, ул. Ярослава Гашека","56, 57","59.839115766222612,30.4131012"
860,Автобус,Остановка,"УЛ. Я. ГАШЕКА, УГ. БУДАПЕШТСКОЙ УЛ","УЛ. Я. ГАШЕКА, УГ. БУДАПЕШТСКОЙ УЛ","ул. Ярослава Гашека, ул. Будапештская","159, 253, 282, 288, 53, 56","59.835083285263813,30.3993206"
861,Автобус,Остановка,УЛ. ЯКУБОВИЧА,УЛ. ЯКУБОВИЧА [70],"улица Якубовича, Исаакиевская площадь","2, 70","59.933771082170082,30.303381"
862,Автобус,Остановка,"УЛ. ИЖОРСКОГО БАТАЛЬОНА, 7","УЛ. ИЖОРСКОГО БАТАЛЬОНА, 7","ул. Ижорского батальона, Московская ул","192, 325, 326, 364, 368, 386","59.735671857483169,30.6171131"
863,Автобус,Остановка,"УЛ. ИЖОРСКОГО БАТАЛЬОНА, УГ. ОКТЯБРЬСКОЙ УЛ","УЛ. ИЖОРСКОГО БАТАЛЬОНА, УГ. ОКТЯБРЬСКОЙ УЛ","Октябрьская ул., ул. Ижорского батальона","192, 325, 326, 364, 368, 386","59.737923076818255,30.6226959"
864,Автобус,Остановка,"УЛ. РЕМИЗОВА, УГОЛ ТВЕРСКОЙ УЛ","УЛ. РЕМИЗОВА, УГОЛ ТВЕРСКОЙ УЛ","Тверская ул., ул. Ремезова","192, 324, 326, 328, 330, 367, 392, 540, 544","59.740838421521566,30.6098614"
865,Автобус,Остановка,УМАНСКИЙ ПЕР,"УМАНСКИЙ ПЕР. [102, 103, 174]","Революции ш., Уманский пер","102, 131, 174, 234, 264, 288, 37","59.96065312974514,30.451189"
866,Автобус,Остановка,"ПР. КОСЫГИНА, 30","ПР. КОСЫГИНА, 30",Косыгина пр,"169, 24, 30","59.9454480733338,30.4971428"
867,Автобус,Остановка,"УЛ. УТОЧКИНА, Д.5","УЛ. УТОЧКИНА, Д.5",Уточкина ул,"112, 134Б, 170, 180, 182, 221, 76","60.010494248989723,30.2621956"
868,Автобус,Остановка,УНИВЕРСАМ,УНИВЕРСАМ,улица Коллонтай,"12, 140, 255А, 264","59.923096365073192,30.4836025"
869,Автобус,Остановка,"УНИВЕРСАМ ""ГАВАНСКИЙ""","УНИВЕРСАМ ""ГАВАНСКИЙ"" [6]","Наличная ул., Железноводская ул","1, 100, 158, 168, 261, 262, 42, 6","59.950736092788368,30.2329445"
870,Автобус,Остановка,"УНИВЕРСАМ ""НЕВСКИЙ""","УНИВЕРСАМ ""НЕВСКИЙ"" [140]",Большевиков пр,"140, 161, 164, 191, 264, 288","59.916198240159986,30.4741192"
871,Автобус,Остановка,"КОМЕНДАНТСКИЙ ПР., Д.34","КОМЕНДАНТСКИЙ ПР., Д.34",Комендантский пр,"127, 135, 154, 171, 85","60.021748329177186,30.2432747"
872,Автобус,Остановка,УНИВЕРСИТЕТ,"УНИВЕРСИТЕТ [7, 24]","Университетская наб., Менделеевская линия","24, 7","59.940460280751708,30.3028965"
873,Автобус,Остановка,УНИВЕРСИТЕТ КИНО И ТЕЛЕВИДЕНИЯ,УНИВЕРСИТЕТ КИНО И ТЕЛЕВИДЕНИЯ,ул. Бухарестская,"117, 54, 57, 74, 91","59.887930060863034,30.3634109"
874,Автобус,ДС,"А.С. ""УТКИНА ЗАВОДЬ"" - ПОСАДКИ И ВЫСАДКИ НЕТ","А.С. ""УТКИНА ЗАВОДЬ"" - ПОСАДКИ И ВЫСАДКИ НЕТ",Октябрьская наб,8,"59.864973804758421,30.4910374"
875,Автобус,Остановка,УЧИТЕЛЬСКАЯ УЛ. УГ. СВЕТЛАНОВСКОГО ПР,УЧИТЕЛЬСКАЯ УЛ. УГ. СВЕТЛАНОВСКОГО ПР,"Учительская ул., Светлановский пр","102, 199","60.033721848421507,30.3951855"
876,Автобус,Остановка,ФАБРИЧНАЯ УЛ,ФАБРИЧНАЯ УЛ,"Эйхенская улица, Санкт-Петербургский проспект","103, 200, 204Э, 210, 343Э, 348, 351А, 351Б, 352, 353, 354, 356, 359, 463, 463А, 489","59.883159810119338,29.8891029"
877,Автобус,Остановка,ФЕОДОСИЙСКАЯ УЛ,ФЕОДОСИЙСКАЯ УЛ,"Полюстровский пр., Феодосийская ул","105, 106, 133, 295, 37","59.965125084295764,30.4006634"
878,Автобус,Остановка,ФРОНТОВАЯ УЛ,ФРОНТОВАЯ УЛ,"Санкт-Петербургское ш., Фронтовая ул","103, 200, 201, 204Э, 210, 329, 343Э, 359","59.852908305807638,30.0358906"
879,Автобус,Остановка,ХАЛТУРИНЕЦ,ХАЛТУРИНЕЦ [476],,476,"59.84120903185358,30.5509338"
880,Автобус,Остановка,ХАСАНСКАЯ УЛ. УГ. ПР. НАСТАВНИКОВ,ХАСАНСКАЯ УЛ. УГ. ПР. НАСТАВНИКОВ [21],"ул. Хасанская, пр. Наставников","102, 153","59.936224515257706,30.4870987"
881,Автобус,Остановка,ХЕРСОНСКАЯ УЛ,ХЕРСОНСКАЯ УЛ,"Херсонская ул., ул. Александра Невского","253, 8","59.926618477314285,30.387495"
882,Автобус,Остановка,"ХРУСТАЛЬНАЯ УЛ., 10","ХРУСТАЛЬНАЯ УЛ., 10","Хрустальная ул., Фаянсовая ул","253, 8","59.91201758688014,30.4001675"
883,Автобус,Остановка,ЦВЕТОВОДЧЕСКИЙ ПИТОМНИК,ЦВЕТОВОДЧЕСКИЙ ПИТОМНИК,"Ораниенбаумское шоссе, Морская улица","200, 348, 349","59.897934396810541,29.8351917"
884,Автобус,Остановка,ЦВЕТОЧНАЯ УЛ,ЦВЕТОЧНАЯ УЛ,"Лиговский пр., Цветочная ул","26, 3, 64","59.894398962014868,30.3300095"
885,Автобус,Остановка,ЦВЕТОЧНЫЙ ПИТОМНИК,ЦВЕТОЧНЫЙ ПИТОМНИК,M20,"147, 150, 155, 252, 301, 90","59.7516164490251,30.3167782"
886,Автобус,Остановка,ЦЕРКОВНАЯ УЛ,ЦЕРКОВНАЯ УЛ. [186],"Ленинградская ул., Леонтьевская ул","186, 236, 299, 371, 375, 376, 377, 381, 385","59.728366398499162,30.4121971"
887,Автобус,Остановка,ЧЕБЫШЁВСКАЯ УЛ,ЧЕБЫШЁВСКАЯ УЛ,,"329, 356, 357, 360","59.867192310154003,29.8566837"
888,Автобус,Остановка,"ЧЕРЕМЫКИНО, ПО ТРЕБОВАНИЮ","ЧЕРЕМЫКИНО, ПО ТРЕБОВАНИЮ",Таллинское шоссе,"482, 482В, 487","59.650682647525329,29.6562614"
889,Автобус,Остановка,"ЧЁРНАЯ РЕЧКА, 1, ПО ТРЕБОВАНИЮ","ЧЁРНАЯ РЕЧКА, 1, ПО ТРЕБОВАНИЮ","Центральная улица, Ключевая улица","435, 497, Я=555","60.17270081988346,30.1740646"
890,Автобус,Остановка,"ЧЁРНАЯ РЕЧКА, 2","ЧЁРНАЯ РЕЧКА, 2",A-122,"435, 497, Я=555","60.174643989485951,30.1652069"
891,Автобус,Остановка,"ЧЁРНАЯ РЕЧКА, ЦЕНТР","ЧЁРНАЯ РЕЧКА, ЦЕНТР",,"435, 497, Я=555","60.176243960679351,30.1575089"
892,Автобус,Остановка,ЧИРКОВИЦЫ,ЧИРКОВИЦЫ,Таллинское ш,487,"59.556864894530698,29.1509781"
893,Автобус,Остановка,"ПОЛЮСТРОВСКИЙ ПР., УГОЛ ЧУГУННОЙ УЛ","ПОЛЮСТРОВСКИЙ ПР., УГОЛ ЧУГУННОЙ УЛ","Полюстровский пр., Чугунная ул","230, 295, 33, 37","59.974966044391351,30.3750706"
894,Автобус,Остановка,ШЕПЕТОВСКАЯ УЛ,ШЕПЕТОВСКАЯ УЛ. [132],"Металлистов пр., Шепетовская ул","132, 222","59.946084322125557,30.4204845"
895,Автобус,Остановка,ШКОЛА № 621,ШКОЛА № 621,"Полевая улица, улица Богайчука","115А, 335А","59.812197002937907,30.5634613"
896,Автобус,Остановка,ШКОЛА,ШКОЛА [123],Сикейроса ул,"123, 270, 80","60.035489016676159,30.3383064"
897,Автобус,Остановка,УЛ. ЖОРЫ АНТОНЕНКО,УЛ. ЖОРЫ АНТОНЕНКО,"Морская улица, улица Жоры Антоненко","200, 348, 4Л, 682, 683, 683А, 684, 685А, 686","59.902493592896391,29.817461"
898,Автобус,Остановка,"МУЗЕЙ ""ДВОРЦОВАЯ ТЕЛЕГРАФНАЯ СТАНЦИЯ""","МУЗЕЙ ""ДВОРЦОВАЯ ТЕЛЕГРАФНАЯ СТАНЦИЯ""","Санкт-Петербургский пр., ул. Зверинская","103, 162, 200, 201, 210, 278, 348, 359","59.877363993804231,29.9289303"
899,Автобус,Остановка,ШКОЛЬНАЯ УЛ,ШКОЛЬНАЯ УЛ. [187],"Октябрьский бул., Школьная ул","187, 342","59.726204062139452,30.4026756"
900,Автобус,Остановка,ШКОЛЬНАЯ УЛ. ПОЛИКЛИНИКА № 89,ШКОЛЬНАЯ УЛ. ПОЛИКЛИНИКА № 89,"Школьная улица, бульвар Алексея Толстого","186, 236, 299, 375, 376, 377, 381, 385","59.732683766508423,30.4089699"
901,Автобус,Остановка,ШКОЛЬНАЯ УЛ. УГОЛ УЛ. ХАЗОВА,ШКОЛЬНАЯ УЛ. УГОЛ УЛ. ХАЗОВА [186],"Школьная ул., Генерала Хазова ул","186, 236, 375, 377, 385","59.737726875658794,30.4120827"
902,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКИЙ ПР.,1","ШЛИССЕЛЬБУРГСКИЙ ПР.,1","Шлиссельбургский проспект, проспект Обуховской Обороны","115А, 189, 327, 53, 97","59.841524726068194,30.4892006"
903,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКИЙ ПР., 47","ШЛИССЕЛЬБУРГСКИЙ ПР., 47","Шлиссельбургский пр., ул. Веры Фигнер","115, 115А, 189, 327, 328","59.832670426982297,30.5179958"
904,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКИЙ ПР., УГОЛ ПРИБРЕЖНОЙ УЛ","ШЛИССЕЛЬБУРГСКИЙ ПР., УГОЛ ПРИБРЕЖНОЙ УЛ","Шлиссельбургский проспект, Прибрежная улица","115, 115А, 189, 327, 328","59.835560344650325,30.509346"
905,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКИЙ ПР., УНИВЕРСАМ","ШЛИССЕЛЬБУРГСКИЙ ПР., УНИВЕРСАМ",Шлиссельбургский пр,"115А, 189, 327, 53, 97","59.839791802462592,30.4954052"
906,Автобус,Остановка,ШКОЛА № 348,ШКОЛА № 348,"Шлиссельбургский пр., ул. Веры Фигнер","115, 115А, 189, 327, 328","59.833682956368797,30.5149021"
907,Автобус,Остановка,ШОССЕ РЕВОЛЮЦИИ,"ШОССЕ РЕВОЛЮЦИИ [22, 123, 136]","Революции ш., Энергетиков пр","106, 174, 183, 22, 234, 288, 37","59.96025992444283,30.4361153"
